29900000	778
12200000	417
29700000	506
30700000	467
24200000	382
13500000	319
33000000	678
15000000	382
2200000	782
4300000	388
11200000	547
22700000	538
11600000	311
31500000	679
7400000	469
10700000	794
1600000	663
9400000	780
10300000	736
14600000	652
19400000	315
14000000	530
25700000	311
1400000	551
9800000	324
9500000	514
28100000	696
5600000	662
24000000	336
31500000	850
25300000	313
12000000	363
1600000	436
22000000	830
11900000	612
3400000	691
6200000	636
27200000	348
7700000	830
5100000	352
18100000	712
24900000	822
3400000	540
2300000	342
13400000	787
27800000	331
14600000	679
19100000	677
20500000	634
19100000	662
25400000	502
24700000	435
7600000	689
23000000	657
19700000	590
24500000	818
10600000	431
30500000	841
18400000	421
18200000	797
18900000	478
30500000	669
28900000	365
7500000	586
12300000	784
10300000	364
29100000	715
10100000	693
12400000	777
5000000	312
1500000	340
18600000	386
18300000	418
16700000	735
8400000	494
6500000	671
14800000	697
33500000	801
29400000	576
1400000	639
8900000	470
31200000	826
21200000	363
8600000	613
8200000	713
21200000	439
3800000	387
28300000	402
8000000	837
37600000	641
21100000	489
20700000	540
8900000	844
6400000	452
2000000	366
1100000	300
15000000	470
25000000	861
29400000	562
